filename,word_count,char_count,char_no_space_count,line_count
104-10122-10135.txt,351,2401,2049,212
104-10122-10141.txt,4028,24059,20019,558
104-10122-10147.txt,622,3870,3244,142
104-10122-10279.txt,492,3056,2562,94
104-10122-10288.txt,2404,14591,12181,284
104-10122-10291.txt,768,4381,3611,90
104-10122-10307.txt,758,4248,3488,82
104-10122-10344.txt,1581,9447,7861,208
104-10122-10346.txt,1873,11172,9290,356
104-10122-10405.txt,442,2687,2243,162
104-10122-10411.txt,1147,6974,5823,224
104-10123-10017.txt,233,1378,1144,81
104-10123-10018.txt,198,1190,991,95
104-10123-10019.txt,316,1939,1622,114
104-10123-10020.txt,399,2271,1870,156
104-10123-10022.txt,236,1281,1044,87
104-10123-10097.txt,162,1074,911,51
104-10123-10098.txt,265,1644,1378,62
104-10123-10160.txt,163,962,798,43
104-10123-10219.txt,279,1722,1440,85
104-10123-10220.txt,448,2752,2303,66
104-10123-10223.txt,141,879,737,53
104-10123-10407.txt,1183,7734,6547,239
104-10123-10421.txt,106,710,603,43
104-10124-10037.txt,192,1262,1069,61
104-10124-10149.txt,387,2442,2054,60
104-10126-10194.txt,348,2159,1810,50
104-10126-10253.txt,496,3013,2516,75
104-10127-10025.txt,203,1277,1073,59
104-10128-10249.txt,151,963,811,36
104-10128-10300.txt,176,1038,861,32
104-10129-10002.txt,6411,39380,32953,1570
104-10129-10027.txt,210,1346,1135,72
104-10129-10033.txt,211,1341,1129,78
104-10129-10034.txt,126,739,611,45
104-10129-10101.txt,824,5218,4390,207
104-10129-10264.txt,122,777,654,34
104-10129-10438.txt,259,1849,1589,99
104-10129-10439.txt,184,1205,1020,64
104-10130-10215.txt,873,5126,4250,146
104-10130-10305.txt,155,1014,858,46
104-10130-10339.txt,132,810,677,36
104-10130-10343.txt,332,2130,1797,132
104-10130-10344.txt,147,1022,874,81
104-10130-10356.txt,90,534,443,37
104-10130-10381.txt,179,1037,857,43
104-10130-10454.txt,238,1520,1281,44
104-10130-10472.txt,1087,7232,6141,208
104-10130-10485.txt,100,647,546,40
104-10131-10010.txt,514,3392,2875,144
104-10131-10014.txt,741,4239,3496,251
104-10131-10016.txt,448,2894,2442,164
104-10131-10028.txt,87,635,547,36
104-10131-10037.txt,217,1351,1132,76
104-10131-10099.txt,219,1414,1193,87
104-10131-10111.txt,301,2042,1739,111
104-10132-10092.txt,809,4932,4121,112
104-10133-10207.txt,13446,73745,60147,8049
104-10133-10437.txt,1580,9628,8044,224
104-10133-10461.txt,587,4081,3491,197
104-10135-10145.txt,89,569,479,32
104-10136-10324.txt,661,3940,3277,260
104-10136-10327.txt,882,5279,4394,338
104-10136-10329.txt,917,5609,4689,318
104-10140-10101.txt,357,2217,1859,56
104-10140-10420.txt,380,2458,2077,57
104-10142-10029.txt,348,2154,1805,51
104-10142-10055.txt,384,2457,2072,64
104-10142-10279.txt,343,2149,1805,57
104-10142-10317.txt,351,2173,1821,56
104-10143-10088.txt,4977,30692,25699,1195
104-10145-10047.txt,351,2178,1826,57
104-10145-10262.txt,410,2586,2175,64
104-10145-10436.txt,505,3095,2588,80
104-10146-10062.txt,629,3755,3124,105
104-10146-10198.txt,380,2347,1958,185
104-10146-10308.txt,377,2403,2025,56
104-10147-10202.txt,399,2522,2122,64
104-10147-10216.txt,564,3413,2839,232
104-10147-10229.txt,545,3332,2777,211
104-10147-10301.txt,381,2269,1886,132
104-10147-10304.txt,536,3427,2889,180
104-10150-10004.txt,50597,308181,257297,7245
104-10150-10038.txt,862,5064,4199,124
104-10150-10136.txt,126273,778268,651579,22429
104-10151-10188.txt,396,2417,2020,62
104-10160-10207.txt,1052,6254,5198,162
104-10161-10001.txt,123,888,764,46
104-10161-10091.txt,1040,6035,4991,271
104-10161-10096.txt,269,1577,1307,100
104-10161-10097.txt,453,2516,2061,135
104-10161-10115.txt,134,902,767,51
104-10161-10144.txt,252,1507,1254,63
104-10161-10154.txt,131,834,702,38
104-10161-10193.txt,155,1082,926,67
104-10161-10226.txt,288,1697,1408,62
104-10161-10321.txt,316,1905,1588,109
104-10161-10330.txt,146,926,779,51
104-10161-10331.txt,146,958,811,38
104-10161-10502.txt,615,3707,3090,92
104-10161-10513.txt,287,1738,1450,113
104-10162-10014.txt,316,1969,1651,155
104-10162-10017.txt,167,1036,868,76
104-10162-10107.txt,366,2169,1801,132
104-10162-10108.txt,212,1327,1114,40
104-10162-10120.txt,234,1507,1272,90
104-10162-10121.txt,280,1878,1597,90
104-10162-10241.txt,19634,113014,93309,4439
104-10162-10242.txt,19625,120099,100367,5183
104-10162-10247.txt,15891,93892,77946,3334
104-10162-10248.txt,12980,79754,66719,3132
104-10163-10019.txt,4428,26587,22147,618
104-10163-10041.txt,58220,345544,287092,10934
104-10163-10065.txt,574,3280,2705,72
104-10163-10087.txt,7905,47251,39302,2627
104-10163-10130.txt,44535,267239,222456,12197
104-10163-10136.txt,664,3910,3244,120
104-10163-10140.txt,15956,95863,79845,2724
104-10163-10173.txt,54764,330991,275962,11765
104-10163-10176.txt,47605,287367,239550,11398
104-10164-10000.txt,17214,104573,87276,4249
104-10164-10002.txt,15044,89244,74124,4033
104-10164-10032.txt,1079,6065,4982,205
104-10164-10050.txt,5736,35080,29302,1659
104-10164-10054.txt,5519,34724,29156,1729
104-10164-10060.txt,40095,247931,207627,10278
104-10164-10085.txt,100,618,517,46
104-10164-10088.txt,491,2669,2177,82
104-10164-10097.txt,29199,184154,154796,7746
104-10164-10099.txt,35563,216266,180559,8537
104-10164-10110.txt,28997,176506,147399,6297
104-10164-10112.txt,59712,360858,300901,11549
104-10165-10004.txt,1611,9298,7684,182
104-10165-10075.txt,22824,139537,116601,5539
104-10165-10077.txt,2428,15439,12998,777
104-10165-10084.txt,15364,97016,81606,4126
104-10165-10087.txt,20036,123306,103180,4795
104-10165-10169.txt,373,2239,1864,98
104-10166-10022.txt,208,1178,969,87
104-10166-10068.txt,183,1166,982,62
104-10166-10079.txt,229,1542,1312,80
104-10166-10115.txt,1529,8771,7236,265
104-10166-10120.txt,7455,44108,36606,2355
104-10166-10158.txt,3983,24385,20378,936
104-10166-10262.txt,514,3297,2781,105
104-10167-10083.txt,1398,7745,6343,201
104-10167-10127.txt,1354,7625,6267,323
104-10167-10190.txt,901,5692,4787,224
104-10167-10297.txt,427,2569,2140,189
104-10167-10366.txt,831,5274,4439,220
104-10167-10375.txt,555,3565,3008,114
104-10169-10000.txt,211,1329,1117,58
104-10169-10001.txt,535,3059,2522,112
104-10169-10002.txt,122,737,614,46
104-10169-10003.txt,128,788,659,48
104-10169-10004.txt,453,2795,2340,178
104-10169-10005.txt,384,2470,2084,138
104-10169-10006.txt,620,3800,3177,186
104-10169-10007.txt,193,1183,989,81
104-10169-10017.txt,688,3853,3163,91
104-10169-10060.txt,782,4936,4152,189
104-10169-10135.txt,138,875,736,44
104-10169-10139.txt,6501,39076,32558,905
104-10169-10265.txt,324,1926,1600,81
104-10169-10269.txt,301,1724,1422,72
104-10169-10271.txt,261,1570,1308,58
104-10169-10282.txt,6087,37319,31208,2165
104-10169-10285.txt,2869,17967,15080,1013
104-10170-10015.txt,2109,12285,10167,534
104-10170-10036.txt,479,2878,2397,123
104-10170-10037.txt,161,916,754,65
104-10170-10051.txt,32151,196880,164655,5438
104-10170-10059.txt,510,2863,2349,191
104-10170-10064.txt,1882,11428,9542,322
104-10170-10091.txt,496,2992,2493,120
104-10170-10096.txt,233,1423,1189,103
104-10170-10109.txt,14516,90877,76286,3122
104-10170-10112.txt,4072,23486,19401,629
104-10170-10121.txt,25581,157770,132102,6913
104-10170-10125.txt,6948,40674,33707,1515
104-10170-10145.txt,1689,10214,8518,280
104-10170-10146.txt,365,2264,1897,105
104-10170-10171.txt,219,1371,1150,60
104-10171-10003.txt,3402,19462,16047,594
104-10171-10013.txt,1174,6756,5578,191
104-10171-10018.txt,475,2748,2271,83
104-10171-10020.txt,1664,9452,7782,408
104-10171-10021.txt,402,2475,2072,79
104-10171-10033.txt,470,2761,2289,82
104-10171-10034.txt,327,1935,1607,60
104-10171-10039.txt,1122,6750,5625,197
104-10171-10044.txt,653,3872,3215,170
104-10171-10047.txt,972,5852,4878,148
104-10171-10093.txt,153,869,715,56
104-10171-10095.txt,153,902,748,55
104-10171-10097.txt,133,786,652,48
104-10171-10106.txt,587,3559,2970,157
104-10171-10136.txt,16566,103809,87182,5973
104-10171-10138.txt,55820,330723,274671,10504
104-10171-10220.txt,317,1916,1598,46
104-10171-10229.txt,693,4229,3534,104
104-10171-10230.txt,575,3409,2832,118
104-10172-10001.txt,1465,8548,7079,234
104-10172-10041.txt,1180,7142,5958,282
104-10172-10059.txt,195,1097,901,57
104-10172-10062.txt,167,952,784,49
104-10172-10105.txt,2192,13722,11516,753
104-10172-10106.txt,20947,121404,100368,3938
104-10172-10107.txt,1800,10838,9028,447
104-10172-10111.txt,46031,279499,233300,10070
104-10172-10112.txt,23368,139867,116415,5578
104-10172-10133.txt,137,822,684,51
104-10172-10137.txt,251,1454,1202,79
104-10172-10147.txt,1588,9536,7945,247
104-10172-10177.txt,198,1128,929,61
104-10172-10201.txt,369,2195,1824,132
104-10172-10243.txt,177,1099,921,51
104-10172-10248.txt,655,3657,3000,180
104-10172-10255.txt,167,977,809,71
104-10172-10256.txt,137,777,639,71
104-10172-10257.txt,155,899,743,71
104-10172-10259.txt,254,1507,1252,97
104-10172-10264.txt,1163,6580,5411,246
104-10172-10265.txt,537,3152,2612,160
